id,value
352,data-352
353,data-353
354,data-354
355,data-355
356,data-356
357,data-357
358,data-358
359,data-359
360,data-360
361,data-361
362,data-362
363,data-363
364,data-364
365,data-365
366,data-366
367,data-367
368,data-368
369,data-369
370,data-370
371,data-371
372,data-372
373,data-373
374,data-374
375,data-375
376,data-376
377,data-377
378,data-378
379,data-379
380,data-380
381,data-381
382,data-382
383,data-383
384,data-384
385,data-385
386,data-386
387,data-387
388,data-388
389,data-389
390,data-390
391,data-391
392,data-392
393,data-393
394,data-394
395,data-395
396,data-396
397,data-397
398,data-398
399,data-399
400,data-400
401,data-401
402,data-402
403,data-403
404,data-404
405,data-405
406,data-406
407,data-407
408,data-408
409,data-409
410,data-410
411,data-411
412,data-412
413,data-413
414,data-414
415,data-415
416,data-416
417,data-417
418,data-418
419,data-419
420,data-420
421,data-421
422,data-422
423,data-423
424,data-424
425,data-425
426,data-426
427,data-427
428,data-428
429,data-429
430,data-430
431,data-431
432,data-432
433,data-433
434,data-434
435,data-435
436,data-436
437,data-437
438,data-438
439,data-439
440,data-440
441,data-441
442,data-442
443,data-443
444,data-444
445,data-445
446,data-446
447,data-447
448,data-448
449,data-449
450,data-450
451,data-451
452,data-452
453,data-453
454,data-454
455,data-455
456,data-456
457,data-457
458,data-458
459,data-459
460,data-460
461,data-461
462,data-462
463,data-463
464,data-464
465,data-465
466,data-466
467,data-467
468,data-468
469,data-469
470,data-470
471,data-471
472,data-472
473,data-473
474,data-474
475,data-475
476,data-476
477,data-477
478,data-478
479,data-479
480,data-480
481,data-481
482,data-482
483,data-483
484,data-484
485,data-485
486,data-486
487,data-487
488,data-488
489,data-489
490,data-490
491,data-491
492,data-492
493,data-493
494,data-494
495,data-495
496,data-496
497,data-497
498,data-498
499,data-499
500,data-500
501,data-501
502,data-502
503,data-503
504,data-504
505,data-505
506,data-506
507,data-507
508,data-508
509,data-509
510,data-510
511,data-511
512,data-512
513,data-513
514,data-514
515,data-515
516,data-516
517,data-517
518,data-518
519,data-519
520,data-520
521,data-521
522,data-522
523,data-523
524,data-524
525,data-525
526,data-526
527,data-527
528,data-528
529,data-529
530,data-530
531,data-531
532,data-532
533,data-533
534,data-534
535,data-535
536,data-536
537,data-537
538,data-538
539,data-539
540,data-540
541,data-541
542,data-542
543,data-543
544,data-544
545,data-545
546,data-546
547,data-547
548,data-548
549,data-549
550,data-550
551,data-551
552,data-552
553,data-553
554,data-554
555,data-555
556,data-556
557,data-557
558,data-558
559,data-559
560,data-560
561,data-561
562,data-562
563,data-563
564,data-564
565,data-565
566,data-566
567,data-567
568,data-568
569,data-569
570,data-570
571,data-571
572,data-572
573,data-573
574,data-574
575,data-575
576,data-576
577,data-577
578,data-578
579,data-579
580,data-580
581,data-581
582,data-582
583,data-583
584,data-584
585,data-585
586,data-586
587,data-587
588,data-588
589,data-589
590,data-590
591,data-591
592,data-592
593,data-593
594,data-594
595,data-595
596,data-596
597,data-597
598,data-598
599,data-599
600,data-600
601,data-601
602,data-602
603,data-603
604,data-604
605,data-605
606,data-606
607,data-607
608,data-608
609,data-609
610,data-610
611,data-611
612,data-612
613,data-613
614,data-614
615,data-615
616,data-616
617,data-617
618,data-618
619,data-619
620,data-620
621,data-621
622,data-622
623,data-623
624,data-624
625,data-625
626,data-626
627,data-627
628,data-628
629,data-629
630,data-630
631,data-631
632,data-632
633,data-633
634,data-634
635,data-635
636,data-636
637,data-637
638,data-638
639,data-639
640,data-640
641,data-641
642,data-642
643,data-643
644,data-644
645,data-645
646,data-646
647,data-647
648,data-648
649,data-649
650,data-650
651,data-651
652,data-652
653,data-653
654,data-654
655,data-655
656,data-656
657,data-657
658,data-658
659,data-659
660,data-660
661,data-661
662,data-662
663,data-663
664,data-664
665,data-665
666,data-666
667,data-667
668,data-668
669,data-669
670,data-670
671,data-671
672,data-672
673,data-673
674,data-674
675,data-675
676,data-676
677,data-677
678,data-678
679,data-679
680,data-680
681,data-681
682,data-682
683,data-683
684,data-684
685,data-685
686,data-686
687,data-687
688,data-688
689,data-689
690,data-690
691,data-691
692,data-692
693,data-693
694,data-694
695,data-695
696,data-696
697,data-697
698,data-698
699,data-699
700,data-700
701,data-701
702,data-702
703,data-703
704,data-704
705,data-705
706,data-706
707,data-707
708,data-708
709,data-709
710,data-710
711,data-711
712,data-712
713,data-713
714,data-714
715,data-715
716,data-716
717,data-717
718,data-718
719,data-719
720,data-720
721,data-721
722,data-722
723,data-723
724,data-724
725,data-725
726,data-726
727,data-727
728,data-728
729,data-729
730,data-730
731,data-731
732,data-732
733,data-733
734,data-734
735,data-735
736,data-736
737,data-737
738,data-738
739,data-739
740,data-740
741,data-741
742,data-742
743,data-743
744,data-744
745,data-745
746,data-746
747,data-747
748,data-748
749,data-749
750,data-750
751,data-751
752,data-752
753,data-753
754,data-754
755,data-755
756,data-756
757,data-757
758,data-758
759,data-759
760,data-760
761,data-761
762,data-762
763,data-763
764,data-764
765,data-765
766,data-766
767,data-767
768,data-768
769,data-769
770,data-770
771,data-771
772,data-772
773,data-773
774,data-774
775,data-775
776,data-776
777,data-777
778,data-778
779,data-779
780,data-780
781,data-781
782,data-782
783,data-783
784,data-784
785,data-785
786,data-786
787,data-787
788,data-788
789,data-789
790,data-790
791,data-791
792,data-792
793,data-793
794,data-794
795,data-795
796,data-796
797,data-797
798,data-798
799,data-799
800,data-800
801,data-801
802,data-802
803,data-803
804,data-804
805,data-805
806,data-806
807,data-807
808,data-808
809,data-809
810,data-810
811,data-811
812,data-812
813,data-813
814,data-814
815,data-815
816,data-816
817,data-817
818,data-818
819,data-819
820,data-820
821,data-821
822,data-822
823,data-823
824,data-824
825,data-825
826,data-826
827,data-827
828,data-828
829,data-829
830,data-830
831,data-831
832,data-832
833,data-833
834,data-834
835,data-835
836,data-836
837,data-837
838,data-838
839,data-839
840,data-840
841,data-841
842,data-842
843,data-843
844,data-844
845,data-845
846,data-846
847,data-847
848,data-848
849,data-849
850,data-850
851,data-851
852,data-852
853,data-853
854,data-854
855,data-855
856,data-856
857,data-857
858,data-858
859,data-859
860,data-860
861,data-861
862,data-862
863,data-863
864,data-864
865,data-865
866,data-866
867,data-867
868,data-868
869,data-869
870,data-870
871,data-871
872,data-872
873,data-873
874,data-874
875,data-875
876,data-876
877,data-877
878,data-878
879,data-879
880,data-880
881,data-881
882,data-882
883,data-883
884,data-884
885,data-885
886,data-886
887,data-887
888,data-888
889,data-889
890,data-890
891,data-891
892,data-892
893,data-893
894,data-894
895,data-895
896,data-896
897,data-897
898,data-898
899,data-899
900,data-900
901,data-901
902,data-902
903,data-903
904,data-904
905,data-905
906,data-906
907,data-907
908,data-908
909,data-909
910,data-910
911,data-911
912,data-912
913,data-913
914,data-914
915,data-915
916,data-916
917,data-917
918,data-918
919,data-919
920,data-920
921,data-921
922,data-922
923,data-923
924,data-924
925,data-925
926,data-926
927,data-927
928,data-928
929,data-929
930,data-930
931,data-931
932,data-932
933,data-933
934,data-934
935,data-935
936,data-936
937,data-937
938,data-938
939,data-939
940,data-940
941,data-941
942,data-942
943,data-943
944,data-944
945,data-945
946,data-946
947,data-947
948,data-948
949,data-949
950,data-950
951,data-951
952,data-952
953,data-953
954,data-954
955,data-955
956,data-956
957,data-957
958,data-958
959,data-959
960,data-960
961,data-961
962,data-962
963,data-963
964,data-964
965,data-965
966,data-966
967,data-967
968,data-968
969,data-969
970,data-970
971,data-971
972,data-972
973,data-973
974,data-974
975,data-975
976,data-976
977,data-977
978,data-978
979,data-979
980,data-980
981,data-981
982,data-982
983,data-983
984,data-984
985,data-985
986,data-986
987,data-987
988,data-988
989,data-989
990,data-990
991,data-991
992,data-992
993,data-993
994,data-994
995,data-995
996,data-996
997,data-997
998,data-998
999,data-999
1000,data-1000
1001,data-1001
1002,data-1002
1003,data-1003
1004,data-1004
1005,data-1005
1006,data-1006
1007,data-1007
1008,data-1008
1009,data-1009
1010,data-1010
1011,data-1011
1012,data-1012
1013,data-1013
1014,data-1014
1015,data-1015
1016,data-1016
1017,data-1017
1018,data-1018
1019,data-1019
1020,data-1020
1021,data-1021
1022,data-1022
1023,data-1023
1024,data-1024
1025,data-1025
1026,data-1026
1027,data-1027
1028,data-1028
1029,data-1029
1030,data-1030
1031,data-1031
1032,data-1032
1033,data-1033
1034,data-1034
1035,data-1035
1036,data-1036
1037,data-1037
1038,data-1038
1039,data-1039
1040,data-1040
1041,data-1041
1042,data-1042
1043,data-1043
1044,data-1044
1045,data-1045
1046,data-1046
1047,data-1047
1048,data-1048
1049,data-1049
1050,data-1050
1051,data-1051
1052,data-1052
1053,data-1053
1054,data-1054
1055,data-1055
1056,data-1056
1057,data-1057
1058,data-1058
1059,data-1059
1060,data-1060
1061,data-1061
1062,data-1062
1063,data-1063
1064,data-1064
1065,data-1065
1066,data-1066
1067,data-1067
1068,data-1068
1069,data-1069
1070,data-1070
1071,data-1071
1072,data-1072
1073,data-1073
1074,data-1074
1075,data-1075
1076,data-1076
1077,data-1077
1078,data-1078
1079,data-1079
1080,data-1080
1081,data-1081
1082,data-1082
1083,data-1083
1084,data-1084
1085,data-1085
1086,data-1086
1087,data-1087
1088,data-1088
1089,data-1089
1090,data-1090
1091,data-1091
1092,data-1092
1093,data-1093
1094,data-1094
1095,data-1095
1096,data-1096
1097,data-1097
1098,data-1098
1099,data-1099
1100,data-1100
1101,data-1101
1102,data-1102
1103,data-1103
1104,data-1104
1105,data-1105
1106,data-1106
1107,data-1107
1108,data-1108
1109,data-1109
1110,data-1110
1111,data-1111
1112,data-1112
1113,data-1113
1114,data-1114
1115,data-1115
1116,data-1116
1117,data-1117
1118,data-1118
1119,data-1119
1120,data-1120
1121,data-1121
1122,data-1122
1123,data-1123
1124,data-1124
1125,data-1125
1126,data-1126
1127,data-1127
1128,data-1128
1129,data-1129
1130,data-1130
1131,data-1131
1132,data-1132
1133,data-1133
1134,data-1134
1135,data-1135
1136,data-1136
1137,data-1137
1138,data-1138
1139,data-1139
1140,data-1140
1141,data-1141
1142,data-1142
1143,data-1143
1144,data-1144
1145,data-1145
1146,data-1146
1147,data-1147
1148,data-1148
1149,data-1149
1150,data-1150
1151,data-1151
1152,data-1152
1153,data-1153
1154,data-1154
1155,data-1155
1156,data-1156
1157,data-1157
1158,data-1158
1159,data-1159
1160,data-1160
1161,data-1161
1162,data-1162
1163,data-1163
1164,data-1164
1165,data-1165
1166,data-1166
1167,data-1167
1168,data-1168
1169,data-1169
1170,data-1170
1171,data-1171
1172,data-1172
1173,data-1173
1174,data-1174
1175,data-1175
1176,data-1176
1177,data-1177
1178,data-1178
1179,data-1179
1180,data-1180
1181,data-1181
1182,data-1182
1183,data-1183
1184,data-1184
1185,data-1185
1186,data-1186
1187,data-1187
1188,data-1188
1189,data-1189
1190,data-1190
1191,data-1191
1192,data-1192
1193,data-1193
1194,data-1194
1195,data-1195
1196,data-1196
1197,data-1197
1198,data-1198
1199,data-1199
1200,data-1200
1201,data-1201
1202,data-1202
1203,data-1203
1204,data-1204
1205,data-1205
1206,data-1206
1207,data-1207
1208,data-1208
1209,data-1209
1210,data-1210
1211,data-1211
1212,data-1212
1213,data-1213
1214,data-1214
1215,data-1215
1216,data-1216
1217,data-1217
1218,data-1218
1219,data-1219
1220,data-1220
1221,data-1221
1222,data-1222
1223,data-1223
1224,data-1224
1225,data-1225
1226,data-1226
1227,data-1227
1228,data-1228
1229,data-1229
1230,data-1230
1231,data-1231
1232,data-1232
1233,data-1233
1234,data-1234
1235,data-1235
1236,data-1236
1237,data-1237
1238,data-1238
1239,data-1239
1240,data-1240
1241,data-1241
1242,data-1242
1243,data-1243
1244,data-1244
1245,data-1245
1246,data-1246
1247,data-1247
1248,data-1248
1249,data-1249
1250,data-1250
1251,data-1251
1252,data-1252
1253,data-1253
1254,data-1254
1255,data-1255
1256,data-1256
1257,data-1257
1258,data-1258
1259,data-1259
1260,data-1260
1261,data-1261
1262,data-1262
1263,data-1263
1264,data-1264
1265,data-1265
1266,data-1266
1267,data-1267
1268,data-1268
1269,data-1269
1270,data-1270
1271,data-1271
1272,data-1272
1273,data-1273
1274,data-1274
1275,data-1275
1276,data-1276
1277,data-1277
1278,data-1278
1279,data-1279
1280,data-1280
1281,data-1281
1282,data-1282
1283,data-1283
1284,data-1284
1285,data-1285
1286,data-1286
1287,data-1287
1288,data-1288
1289,data-1289
1290,data-1290
1291,data-1291
1292,data-1292
1293,data-1293
1294,data-1294
1295,data-1295
1296,data-1296
1297,data-1297
1298,data-1298
1299,data-1299
1300,data-1300
1301,data-1301
1302,data-1302
1303,data-1303
1304,data-1304
1305,data-1305
1306,data-1306
1307,data-1307
1308,data-1308
1309,data-1309
1310,data-1310
1311,data-1311
1312,data-1312
1313,data-1313
1314,data-1314
1315,data-1315
1316,data-1316
1317,data-1317
1318,data-1318
1319,data-1319
1320,data-1320
1321,data-1321
1322,data-1322
1323,data-1323
1324,data-1324
1325,data-1325
1326,data-1326
1327,data-1327
1328,data-1328
1329,data-1329
1330,data-1330
1331,data-1331
1332,data-1332
1333,data-1333
1334,data-1334
1335,data-1335
1336,data-1336
1337,data-1337
1338,data-1338
1339,data-1339
1340,data-1340
1341,data-1341
1342,data-1342
1343,data-1343
1344,data-1344
1345,data-1345
1346,data-1346
1347,data-1347
1348,data-1348
1349,data-1349
1350,data-1350
1351,data-1351
1352,data-1352
1353,data-1353
1354,data-1354
1355,data-1355
1356,data-1356
1357,data-1357
1358,data-1358
1359,data-1359
1360,data-1360
1361,data-1361
1362,data-1362
1363,data-1363
1364,data-1364
1365,data-1365
1366,data-1366
1367,data-1367
1368,data-1368
1369,data-1369
1370,data-1370
1371,data-1371
1372,data-1372
1373,data-1373
1374,data-1374
1375,data-1375
1376,data-1376
1377,data-1377
1378,data-1378
1379,data-1379
1380,data-1380
1381,data-1381
1382,data-1382
1383,data-1383
1384,data-1384
1385,data-1385
1386,data-1386
1387,data-1387
1388,data-1388
1389,data-1389
1390,data-1390
1391,data-1391
1392,data-1392
1393,data-1393
1394,data-1394
1395,data-1395
1396,data-1396
1397,data-1397
1398,data-1398
1399,data-1399
1400,data-1400
1401,data-1401
1402,data-1402
1403,data-1403
1404,data-1404
1405,data-1405
1406,data-1406
1407,data-1407
1408,data-1408
1409,data-1409
1410,data-1410
1411,data-1411
1412,data-1412
1413,data-1413
1414,data-1414
1415,data-1415
1416,data-1416
1417,data-1417
1418,data-1418
1419,data-1419
1420,data-1420
1421,data-1421
1422,data-1422
1423,data-1423
1424,data-1424
1425,data-1425
1426,data-1426
1427,data-1427
1428,data-1428
1429,data-1429
1430,data-1430
1431,data-1431
1432,data-1432
1433,data-1433
1434,data-1434
1435,data-1435
1436,data-1436
1437,data-1437
1438,data-1438
1439,data-1439
1440,data-1440
1441,data-1441
1442,data-1442
1443,data-1443
1444,data-1444
1445,data-1445
1446,data-1446
1447,data-1447
1448,data-1448
1449,data-1449
1450,data-1450
1451,data-1451
1452,data-1452
1453,data-1453
1454,data-1454
1455,data-1455
1456,data-1456
1457,data-1457
1458,data-1458
1459,data-1459
1460,data-1460
1461,data-1461
1462,data-1462
1463,data-1463
1464,data-1464
1465,data-1465
1466,data-1466
1467,data-1467
1468,data-1468
1469,data-1469
1470,data-1470
1471,data-1471
1472,data-1472
1473,data-1473
1474,data-1474
1475,data-1475
1476,data-1476
1477,data-1477
1478,data-1478
1479,data-1479
1480,data-1480
1481,data-1481
1482,data-1482
1483,data-1483
1484,data-1484
1485,data-1485
1486,data-1486
1487,data-1487
1488,data-1488
1489,data-1489
1490,data-1490
1491,data-1491
1492,data-1492
1493,data-1493
1494,data-1494
1495,data-1495
1496,data-1496
1497,data-1497
1498,data-1498
1499,data-1499
1500,data-1500
1501,data-1501
1502,data-1502
1503,data-1503
1504,data-1504
1505,data-1505
1506,data-1506
1507,data-1507
1508,data-1508
1509,data-1509
1510,data-1510
1511,data-1511
1512,data-1512
1513,data-1513
1514,data-1514
1515,data-1515
1516,data-1516
1517,data-1517
1518,data-1518
1519,data-1519
1520,data-1520
1521,data-1521
1522,data-1522
1523,data-1523
1524,data-1524
1525,data-1525
1526,data-1526
1527,data-1527
1528,data-1528
1529,data-1529
1530,data-1530
1531,data-1531
1532,data-1532
1533,data-1533
1534,data-1534
1535,data-1535
1536,data-1536
1537,data-1537
1538,data-1538
1539,data-1539
1540,data-1540
1541,data-1541
1542,data-1542
1543,data-1543
1544,data-1544
1545,data-1545
1546,data-1546
1547,data-1547
1548,data-1548
1549,data-1549
1550,data-1550
1551,data-1551
1552,data-1552
1553,data-1553
1554,data-1554
1555,data-1555
1556,data-1556
1557,data-1557
1558,data-1558
1559,data-1559
1560,data-1560
1561,data-1561
1562,data-1562
1563,data-1563
1564,data-1564
1565,data-1565
1566,data-1566
1567,data-1567
1568,data-1568
1569,data-1569
1570,data-1570
1571,data-1571
1572,data-1572
1573,data-1573
1574,data-1574
1575,data-1575
1576,data-1576
1577,data-1577
1578,data-1578
1579,data-1579
1580,data-1580
1581,data-1581
1582,data-1582
1583,data-1583
1584,data-1584
1585,data-1585
1586,data-1586
1587,data-1587
1588,data-1588
1589,data-1589
1590,data-1590
1591,data-1591
1592,data-1592
1593,data-1593
1594,data-1594
1595,data-1595
1596,data-1596
1597,data-1597
1598,data-1598
1599,data-1599
1600,data-1600
1601,data-1601
1602,data-1602
1603,data-1603
1604,data-1604
1605,data-1605
1606,data-1606
1607,data-1607
1608,data-1608
1609,data-1609
1610,data-1610
1611,data-1611
1612,data-1612
1613,data-1613
1614,data-1614
1615,data-1615
1616,data-1616
1617,data-1617
1618,data-1618
1619,data-1619
1620,data-1620
1621,data-1621
1622,data-1622
1623,data-1623
1624,data-1624
1625,data-1625
1626,data-1626
1627,data-1627
1628,data-1628
1629,data-1629
1630,data-1630
1631,data-1631
1632,data-1632
1633,data-1633
1634,data-1634
1635,data-1635
1636,data-1636
1637,data-1637
1638,data-1638
1639,data-1639
1640,data-1640
1641,data-1641
1642,data-1642
1643,data-1643
1644,data-1644
1645,data-1645
1646,data-1646
1647,data-1647
1648,data-1648
1649,data-1649
1650,data-1650
1651,data-1651
1652,data-1652
1653,data-1653
1654,data-1654
1655,data-1655
1656,data-1656
1657,data-1657
1658,data-1658
1659,data-1659
1660,data-1660
1661,data-1661
1662,data-1662
1663,data-1663
1664,data-1664
1665,data-1665
1666,data-1666
1667,data-1667
1668,data-1668
1669,data-1669
1670,data-1670
1671,data-1671
1672,data-1672
1673,data-1673
1674,data-1674
1675,data-1675
1676,data-1676
1677,data-1677
1678,data-1678
1679,data-1679
1680,data-1680
1681,data-1681
1682,data-1682
1683,data-1683
1684,data-1684
1685,data-1685
1686,data-1686
1687,data-1687
1688,data-1688
1689,data-1689
1690,data-1690
1691,data-1691
1692,data-1692
1693,data-1693
1694,data-1694
1695,data-1695
1696,data-1696
1697,data-1697
1698,data-1698
1699,data-1699
1700,data-1700
1701,data-1701
1702,data-1702
1703,data-1703
1704,data-1704
1705,data-1705
1706,data-1706
1707,data-1707
1708,data-1708
1709,data-1709
1710,data-1710
1711,data-1711
1712,data-1712
1713,data-1713
1714,data-1714
1715,data-1715
1716,data-1716
1717,data-1717
1718,data-1718
1719,data-1719
1720,data-1720
1721,data-1721
1722,data-1722
1723,data-1723
1724,data-1724
1725,data-1725
1726,data-1726
1727,data-1727
1728,data-1728
1729,data-1729
1730,data-1730
1731,data-1731
1732,data-1732
1733,data-1733
1734,data-1734
1735,data-1735
1736,data-1736
1737,data-1737
1738,data-1738
1739,data-1739
1740,data-1740
1741,data-1741
1742,data-1742
1743,data-1743
1744,data-1744
1745,data-1745
1746,data-1746
1747,data-1747
1748,data-1748
1749,data-1749
1750,data-1750
1751,data-1751
1752,data-1752
1753,data-1753
1754,data-1754
1755,data-1755
1756,data-1756
1757,data-1757
1758,data-1758
1759,data-1759
1760,data-1760
1761,data-1761
1762,data-1762
1763,data-1763
1764,data-1764
1765,data-1765
1766,data-1766
1767,data-1767
1768,data-1768
1769,data-1769
1770,data-1770
1771,data-1771
1772,data-1772
1773,data-1773
1774,data-1774
1775,data-1775
1776,data-1776
1777,data-1777
1778,data-1778
1779,data-1779
1780,data-1780
1781,data-1781
1782,data-1782
1783,data-1783
1784,data-1784
1785,data-1785
1786,data-1786
1787,data-1787
1788,data-1788
1789,data-1789
1790,data-1790
1791,data-1791
1792,data-1792
1793,data-1793
1794,data-1794
1795,data-1795
1796,data-1796
1797,data-1797
1798,data-1798
1799,data-1799
1800,data-1800
1801,data-1801
1802,data-1802
1803,data-1803
1804,data-1804
1805,data-1805
1806,data-1806
1807,data-1807
1808,data-1808
1809,data-1809
1810,data-1810
1811,data-1811
1812,data-1812
1813,data-1813
1814,data-1814
1815,data-1815
1816,data-1816
1817,data-1817
1818,data-1818
1819,data-1819
1820,data-1820
1821,data-1821
1822,data-1822
1823,data-1823
1824,data-1824
1825,data-1825
1826,data-1826
1827,data-1827
1828,data-1828
1829,data-1829
1830,data-1830
1831,data-1831
1832,data-1832
1833,data-1833
1834,data-1834
1835,data-1835
1836,data-1836
1837,data-1837
1838,data-1838
1839,data-1839
1840,data-1840
1841,data-1841
1842,data-1842
1843,data-1843
1844,data-1844
1845,data-1845
1846,data-1846
1847,data-1847
1848,data-1848
1849,data-1849
1850,data-1850
1851,data-1851
1852,data-1852
1853,data-1853
1854,data-1854
1855,data-1855
1856,data-1856
1857,data-1857
1858,data-1858
1859,data-1859
1860,data-1860
1861,data-1861
1862,data-1862
1863,data-1863
1864,data-1864
1865,data-1865
1866,data-1866
1867,data-1867
1868,data-1868
1869,data-1869
1870,data-1870
1871,data-1871
1872,data-1872
1873,data-1873
1874,data-1874
1875,data-1875
1876,data-1876
1877,data-1877
1878,data-1878
1879,data-1879
1880,data-1880
1881,data-1881
1882,data-1882
1883,data-1883
1884,data-1884
1885,data-1885
1886,data-1886
1887,data-1887
1888,data-1888
1889,data-1889
1890,data-1890
1891,data-1891
1892,data-1892
1893,data-1893
1894,data-1894
1895,data-1895
1896,data-1896
1897,data-1897
1898,data-1898
1899,data-1899
1900,data-1900
1901,data-1901
1902,data-1902
1903,data-1903
1904,data-1904
1905,data-1905
1906,data-1906
1907,data-1907
1908,data-1908
1909,data-1909
1910,data-1910
1911,data-1911
1912,data-1912
1913,data-1913
1914,data-1914
1915,data-1915
1916,data-1916
1917,data-1917
1918,data-1918
1919,data-1919
1920,data-1920
1921,data-1921
1922,data-1922
1923,data-1923
1924,data-1924
1925,data-1925
1926,data-1926
1927,data-1927
1928,data-1928
1929,data-1929
1930,data-1930
1931,data-1931
1932,data-1932
1933,data-1933
1934,data-1934
1935,data-1935
1936,data-1936
1937,data-1937
1938,data-1938
1939,data-1939
1940,data-1940
1941,data-1941
1942,data-1942
1943,data-1943
1944,data-1944
1945,data-1945
1946,data-1946
1947,data-1947
1948,data-1948
1949,data-1949
1950,data-1950
1951,data-1951
1952,data-1952
1953,data-1953
1954,data-1954
1955,data-1955
1956,data-1956
1957,data-1957
1958,data-1958
1959,data-1959
1960,data-1960
1961,data-1961
1962,data-1962
1963,data-1963
1964,data-1964
1965,data-1965
1966,data-1966
1967,data-1967
1968,data-1968
1969,data-1969
1970,data-1970
1971,data-1971
1972,data-1972
1973,data-1973
1974,data-1974
1975,data-1975
1976,data-1976
1977,data-1977
1978,data-1978
1979,data-1979
1980,data-1980
1981,data-1981
1982,data-1982
1983,data-1983
1984,data-1984
1985,data-1985
1986,data-1986
1987,data-1987
1988,data-1988
1989,data-1989
1990,data-1990
1991,data-1991
1992,data-1992
1993,data-1993
1994,data-1994
1995,data-1995
1996,data-1996
1997,data-1997
1998,data-1998
